Level,Name,Branch,Division,Group,Qty,Total Amount
Group,REPLACE,Stories Ain El Mreisseh,COLD BAR SECTION,REPLACE,32766,1134980.79
Division,COLD BAR SECTION,Stories Ain El Mreisseh,COLD BAR SECTION,REPLACE,233588.5,33007707.06
Group,SOFT DRINKS,Stories Ain El Mreisseh,GRAB&GO BEVERAGES,SOFT DRINKS,82338,4184454.05
Division,GRAB&GO BEVERAGES,Stories Ain El Mreisseh,GRAB&GO BEVERAGES,SOFT DRINKS,82338,4184454.05
Group,COFFEE PASTRY,Stories Ain El Mreisseh,COFFEE PASTRY,COFFEE PASTRY,16237,4315997.91
Division,COFFEE PASTRY,Stories Ain El Mreisseh,COFFEE PASTRY,COFFEE PASTRY,16237,4315997.91
Group,CROISSANT,Stories Ain El Mreisseh,CROISSANT,CROISSANT,7969,1596325.53
Division,CROISSANT,Stories Ain El Mreisseh,CROISSANT,CROISSANT,7969,1596325.53
Group,COOKIES,Stories Ain El Mreisseh,COOKIES,COOKIES,2910,916189.19
Division,COOKIES,Stories Ain El Mreisseh,COOKIES,COOKIES,2910,916189.19
Group,FRENCH PASTRY,Stories Ain El Mreisseh,FRENCH PASTRY,FRENCH PASTRY,7073,1921215.92
Division,FRENCH PASTRY,Stories Ain El Mreisseh,FRENCH PASTRY,FRENCH PASTRY,7073,1921215.92
Group,COMBO TOPPINGS,Stories Ain El Mreisseh,FROZEN YOGHURT,COMBO TOPPINGS,193860,0
Group,TOPPINGS,Stories Ain El Mreisseh,FROZEN YOGHURT,TOPPINGS,7802,519846.25
Group,LUXURY TOPPINGS,Stories Ain El Mreisseh,FROZEN YOGHURT,LUXURY TOPPINGS,11164,1120524.02
Group,FROZEN YOGHURT,Stories Ain El Mreisseh,FROZEN YOGHURT,FROZEN YOGHURT,60527.3,20328365.53
Group,SPECIALTY YOGHURT,Stories Ain El Mreisseh,FROZEN YOGHURT,SPECIALTY YOGHURT,204.5,24616.67
Division,FROZEN YOGHURT,Stories Ain El Mreisseh,FROZEN YOGHURT,SPECIALTY YOGHURT,273557.8,21993352.46
